name,team_country,team_confederation,position,club,club_country,birth_date,birth_city,birth_country,birth_lat,birth_lon,caps,goals,is_foreign_born,birth_country_known
Cucho Hernández,Colombia,CONMEBOL,Forward,Real Betis,Spain,1999-04-20,Pereira,Colombia,4.8142777777778,-75.694558333333,9,2,false,true
Juan Fernando Quintero,Colombia,CONMEBOL,Midfielder,River Plate,Argentina,1993-01-18,Medellín,Colombia,6.250200154878975,-75.56758450069736,49,6,false,true
Jaminton Campaz,Colombia,CONMEBOL,Forward,Rosario Central,Argentina,2000-05-24,Tumaco,Colombia,1.8066666666667,-78.764722222222,10,1,false,true
Deiver Machado,Colombia,CONMEBOL,Defender,Nantes,France,1993-09-02,Tadó,Colombia,5.2633333333333,-76.56,15,0,false,true
Davinson Sánchez,Colombia,CONMEBOL,Defender,Galatasaray,Turkey,1996-06-12,Caloto,Colombia,3.0355555555556,-76.407777777778,79,4,false,true
Álvaro Montero,Colombia,CONMEBOL,Goalkeeper,Vélez Sarsfield,Argentina,1995-03-29,El Molino,Colombia,10.653055555556,-72.925555555556,12,0,false,true
Luis Suárez,Colombia,CONMEBOL,Forward,Sporting CP,Portugal,1997-12-02,Santa Marta,Colombia,11.236111111111,-74.201666666667,12,5,false,true
Andrés Gómez,Colombia,CONMEBOL,Forward,Vasco da Gama,Brazil,2002-09-12,Quibdó,Colombia,5.692277,-76.658192,8,2,false,true
Lionel Mpasi,DR Congo,CAF,Goalkeeper,Le Havre,France,1994-08-01,Meaux,France,48.959444444444,2.8877777777778,29,0,true,true
Aaron Wan-Bissaka,DR Congo,CAF,Defender,West Ham United,England,1997-11-26,Croydon,United Kingdom,51.3727,-0.1099,12,0,true,true
Steve Kapuadi,DR Congo,CAF,Defender,Widzew Łódź,Poland,1998-04-30,Le Mans,France,48.004166666667,0.19694444444444,4,0,true,true
Axel Tuanzebe,DR Congo,CAF,Defender,Burnley,England,1997-11-14,Bunia,Democratic Republic of the Congo,1.5666666666667,30.25,14,1,false,true
Dylan Batubinsika,DR Congo,CAF,Defender,AEL,Greece,1996-02-15,Cergy-Pontoise,France,49.0361,2.06306,14,1,true,true
Ngal'ayel Mukau,DR Congo,CAF,Midfielder,Lille,France,2004-11-03,Antwerp,Belgium,51.221111111111114,4.3997222222222225,14,0,true,true
Nathanaël Mbuku,DR Congo,CAF,Midfielder,Montpellier,France,2002-03-16,Villeneuve-Saint-Georges,France,48.7325,2.4497222222222,19,2,true,true
Samuel Moutoussamy,DR Congo,CAF,Midfielder,Atromitos,Greece,1996-08-12,12th arrondissement of Paris,France,48.840808333333,2.3881833333333,58,0,true,true
Brian Cipenga,DR Congo,CAF,Forward,Castellón,Spain,1998-03-11,Kinshasa,Democratic Republic of the Congo,-4.321944444444444,15.311944444444444,8,0,false,true
Théo Bongonda,DR Congo,CAF,Midfielder,Spartak Moscow,Russia,1995-11-20,"",Belgium,50.416666666667,4.4441666666667,38,7,true,true
Gaël Kakuta,DR Congo,CAF,Forward,AEL,Greece,1991-06-21,Lille,France,50.631944444444,3.0575,31,5,true,true
Joris Kayembe,DR Congo,CAF,Defender,Genk,Belgium,1994-08-08,Brussels,Belgium,50.846666666666664,4.351666666666667,26,1,true,true
Meschak Elia,DR Congo,CAF,Forward,Alanyaspor,Turkey,1997-08-06,Kinshasa,Democratic Republic of the Congo,-4.321944444444444,15.311944444444444,69,12,false,true
Noah Sadiki,DR Congo,CAF,Midfielder,Sunderland,England,2004-12-17,Brussels-Capital Region,Belgium,50.846666666666664,4.3525,20,0,true,true
Aaron Tshibola,DR Congo,CAF,Midfielder,Kilmarnock,Scotland,1995-01-02,London Borough of Newham,United Kingdom,51.516666666666666,0.03333333333333333,17,1,true,true
Timothy Fayulu,DR Congo,CAF,Goalkeeper,Noah,"",1999-07-24,Geneva,Switzerland,46.2,6.15,3,0,true,true
Cédric Bakambu,DR Congo,CAF,Forward,Real Betis,Spain,1991-04-11,Vitry-sur-Seine,France,48.7875,2.3927777777778,70,21,true,true
Charles Pickel,DR Congo,CAF,Midfielder,Espanyol,Spain,1997-05-15,Solothurn,Switzerland,47.208055555556,7.5375,34,1,true,true
Fiston Mayele,DR Congo,CAF,Forward,Pyramids,Egypt,1994-06-24,Mbuji-Mayi,Democratic Republic of the Congo,-6.1209,23.5967,37,6,false,true
Yoane Wissa,DR Congo,CAF,Forward,Newcastle United,England,1996-09-03,Épinay-sous-Sénart,France,48.693055555556,2.5158333333333,38,9,true,true
Matthieu Epolo,DR Congo,CAF,Goalkeeper,Standard Liège,Belgium,2005-01-15,Brussels,Belgium,50.846666666666664,4.351666666666667,1,0,true,true
Chancel Mbemba,DR Congo,CAF,Defender,Lille,France,1994-08-08,Kisangani,Democratic Republic of the Congo,0.51527777777778,25.191111111111,109,7,false,true
Simon Banza,DR Congo,CAF,Forward,Al Jazira,United Arab Emirates,1996-08-13,France,France,47.0,2.0,15,2,true,true
Gédéon Kalulu,DR Congo,CAF,Defender,Aris Limassol,Cyprus,1997-08-29,8th arrondissement of Lyon,France,45.734822222222,4.8681388888889,28,0,true,true
Edo Kayembe,DR Congo,CAF,Midfielder,Watford,England,1998-06-03,Kananga,Democratic Republic of the Congo,-5.8961111111111,22.416666666667,43,2,false,true
Arthur Masuaku,DR Congo,CAF,Defender,Lens,France,1993-11-07,Lille,France,50.631944444444,3.0575,45,4,true,true
Diogo Costa,Portugal,UEFA,Goalkeeper,Porto,Portugal,1999-09-19,Rothrist,Switzerland,47.302777777778,7.8833333333333,43,0,true,true
Nélson Semedo,Portugal,UEFA,Defender,Fenerbahçe,Turkey,1993-11-16,Lisbon,Portugal,38.708042,-9.139016,50,0,false,true
Rúben Dias,Portugal,UEFA,Defender,Manchester City,England,1997-05-14,Amadora,Portugal,38.75,-9.2333333333333,76,3,false,true
Tomás Araújo,Portugal,UEFA,Defender,Benfica,Portugal,2002-05-16,Vila Nova de Famalicão,Portugal,41.416666666667,-8.5166666666667,5,0,false,true
Diogo Dalot,Portugal,UEFA,Defender,Manchester United,England,1999-03-18,Braga,Portugal,41.533333333333,-8.4166666666667,35,3,false,true
Matheus Nunes,Portugal,UEFA,Midfielder,Manchester City,England,1998-08-27,Rio de Janeiro,Brazil,-22.91111111111111,-43.205555555555556,20,2,true,true
Cristiano Ronaldo,Portugal,UEFA,Forward,Al-Nassr,Saudi Arabia,1985-02-05,Funchal,Portugal,32.65,-16.916666666667,228,143,false,true
Bruno Fernandes,Portugal,UEFA,Midfielder,Manchester United,England,1994-09-08,Maia,Portugal,41.233333333333,-8.6166666666667,89,29,false,true
Gonçalo Ramos,Portugal,UEFA,Forward,Paris Saint-Germain,France,2001-06-20,Olhão,Portugal,37.027777777778,-7.8388888888889,25,10,false,true
Bernardo Silva,Portugal,UEFA,Midfielder,Manchester City,England,1994-08-10,Lisbon,Portugal,38.708042,-9.139016,109,14,false,true
João Félix,Portugal,UEFA,Forward,Al-Nassr,Saudi Arabia,1999-11-10,Viseu,Portugal,40.6575,-7.913888888888889,54,12,false,true
José Sá,Portugal,UEFA,Goalkeeper,Wolverhampton Wanderers,England,1993-01-17,Braga,Portugal,41.533333333333,-8.4166666666667,5,0,false,true
Renato Veiga,Portugal,UEFA,Defender,Villarreal,Spain,2003-07-29,Lisbon,Portugal,38.708042,-9.139016,13,1,false,true
Gonçalo Inácio,Portugal,UEFA,Defender,Sporting CP,Portugal,2001-08-25,Almada,Portugal,38.68027778,-9.15833333,22,2,false,true
João Neves,Portugal,UEFA,Midfielder,Paris Saint-Germain,France,2004-09-27,Tavira,Portugal,37.13085,-7.6506,22,3,false,true
